validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,10476.911,268703756.938,16392.186,0.16,6.67,16.67,43.33,10.9,14.88,15.49,10.9,18.81,16.73
MLP_seq,9531.895,258493129.083,16077.722,0.15,6.67,30.0,50.0,8.31,13.19,13.97,8.31,17.91,15.57
MLP_seq,7939.332,193799943.296,13921.205,0.14,13.33,30.0,63.33,0.91,3.94,5.24,0.91,8.69,7.84
MLP_seq,8446.346,227034555.374,15067.666,0.14,13.33,36.67,66.67,1.86,6.19,7.65,1.86,10.46,10.56
MLP_seq,9130.317,221592627.509,14885.988,0.15,13.33,20.0,56.67,3.75,6.35,8.9,3.75,9.01,13.8
MLP_seq,9407.262,230584099.766,15184.996,0.16,3.33,20.0,56.67,2.53,4.83,6.9,2.53,7.2,10.96
MLP_seq,9556.369,238892950.727,15456.162,0.16,6.67,26.67,46.67,6.16,8.74,10.0,6.16,11.38,12.53
MLP_seq,9535.055,240200563.678,15498.405,0.16,16.67,33.33,53.33,5.24,8.04,9.71,5.24,10.88,13.02
MLP_seq,10213.417,258545725.13,16079.357,0.17,6.67,20.0,40.0,6.01,8.42,9.68,6.01,10.89,12.21
MLP_seq,9869.643,253225815.675,15913.071,0.17,10.0,26.67,50.0,4.86,7.23,8.04,4.86,9.66,9.69
MLP_seq,10311.994,269681890.781,16421.994,0.18,13.33,23.33,43.33,7.36,9.34,9.67,7.36,11.39,10.37
MLP_seq,9801.154,260205817.593,16130.896,0.19,6.67,23.33,56.67,3.22,6.02,6.34,3.22,8.88,6.99
MLP_seq,9751.775,260587329.998,16142.718,0.18,13.33,30.0,53.33,3.58,6.21,7.31,3.58,8.91,9.51
MLP_seq,10162.817,272289903.69,16501.209,0.21,10.0,30.0,53.33,2.99,5.54,5.98,2.99,8.15,6.9
MLP_seq,10447.225,288087246.083,16973.133,0.21,13.33,26.67,56.67,4.26,6.77,7.44,4.26,9.34,8.82
MLP_seq,10668.665,302079607.481,17380.437,0.22,6.67,23.33,46.67,5.68,8.28,8.49,5.68,10.93,8.93
MLP_seq,10126.967,279876036.087,16729.496,0.22,6.67,23.33,60.0,2.82,5.17,5.69,2.82,7.59,6.76
MLP_seq,8249.077,212404782.021,14574.113,0.14,20.0,40.0,63.33,1.19,4.52,5.12,1.19,7.87,6.37
MLP_seq,8041.153,203227994.629,14255.806,0.14,6.67,30.0,63.33,2.02,5.97,7.4,2.02,9.9,10.26
MLP_seq,8874.714,213386670.821,14607.761,0.15,6.67,23.33,56.67,1.9,4.83,7.3,1.9,7.81,12.07
MLP_seq,9496.13,238246560.573,15435.238,0.15,13.33,30.0,46.67,5.62,8.12,10.27,5.62,10.69,14.45
MLP_seq,9428.54,244123534.403,15624.453,0.15,10.0,20.0,53.33,6.48,8.6,9.77,6.48,10.78,12.14
MLP_seq,9430.936,230392284.628,15178.679,0.16,13.33,26.67,53.33,4.04,6.79,8.5,4.04,9.58,11.89
MLP_seq,9593.611,236790228.45,15387.99,0.16,16.67,30.0,50.0,5.26,7.28,8.81,5.26,9.38,11.84
MLP_seq,9680.899,238379293.433,15439.537,0.17,10.0,30.0,53.33,3.6,6.23,7.46,3.6,8.91,9.94
MLP_seq,10523.392,271566413.202,16479.272,0.18,6.67,23.33,50.0,6.85,8.25,9.27,6.85,9.72,11.32
MLP_seq,10324.991,260860856.603,16151.187,0.18,6.67,26.67,43.33,6.13,7.55,8.75,6.13,9.04,11.16
