validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
LSTM_alt,4493.018,37906260.299,6156.806,0.07,10.0,50.0,73.33,0.32,2.03,2.03,0.32,4.38,2.01
MLP_seq,5109.14,38258229.788,6185.324,0.08,6.67,13.33,73.33,1.94,4.45,4.04,1.94,6.96,3.23
MLP_seq,4493.867,42869865.285,6547.508,0.07,13.33,43.33,90.0,0.02,1.45,0.83,0.02,2.84,0.39
LSTM_alt,4205.827,30911334.562,5559.796,0.07,13.33,43.33,86.67,1.69,3.14,2.31,1.69,4.56,0.69
MLP_seq,5532.539,41959524.833,6477.617,0.09,6.67,10.0,76.67,2.77,5.27,4.99,2.77,7.77,4.42
MLP_seq,3537.597,31624672.788,5623.582,0.06,30.0,70.0,83.33,3.72,2.01,1.46,3.72,0.32,0.32
LSTM_alt,4100.456,40511112.485,6364.834,0.06,33.33,46.67,83.33,1.19,0.34,0.03,1.19,0.48,0.78
MLP_seq,10476.911,268703756.938,16392.186,0.16,6.67,16.67,43.33,10.9,14.88,15.49,10.9,18.81,16.73
MLP_seq,9531.895,258493129.083,16077.722,0.15,6.67,30.0,50.0,8.31,13.19,13.97,8.31,17.91,15.57
MLP_seq,8253.035,221539494.257,14884.203,0.13,16.67,43.33,63.33,6.08,9.03,10.97,6.08,12.02,14.78
MLP_seq,7890.659,207745987.308,14413.396,0.13,16.67,40.0,70.0,4.7,8.15,9.96,4.7,11.61,13.54
MLP_seq,8487.608,221172889.387,14871.883,0.14,13.33,33.33,66.67,4.26,8.23,10.26,4.26,12.18,14.23
MLP_seq,8572.49,231701396.414,15221.741,0.14,10.0,40.0,66.67,5.91,9.24,11.31,5.91,12.58,15.37
MLP_seq,7547.989,202595544.159,14233.606,0.13,20.0,43.33,66.67,3.94,6.59,8.43,3.94,9.3,12.06
MLP_seq,8360.989,219858717.259,14827.634,0.14,13.33,30.0,66.67,5.68,8.42,10.02,5.68,11.21,13.19
MLP_seq,8277.751,221343063.272,14877.603,0.13,13.33,43.33,63.33,3.73,8.07,10.76,3.73,12.34,15.91
MLP_seq,8111.549,218485337.44,14781.25,0.13,20.0,43.33,70.0,6.86,9.5,11.09,6.86,12.19,14.25
MLP_seq,7700.045,197112494.298,14039.676,0.13,13.33,40.0,66.67,3.44,6.66,8.34,3.44,9.91,11.68
MLP_seq,7292.511,187183239.552,13681.493,0.13,23.33,43.33,56.67,0.33,2.99,5.07,0.33,6.33,9.16
MLP_seq,7713.721,211899743.994,14556.777,0.13,23.33,43.33,70.0,5.28,8.45,10.19,5.28,11.64,13.62
MLP_seq,7470.114,195960806.889,13998.6,0.12,10.0,46.67,73.33,4.39,7.12,8.57,4.39,9.91,11.47
MLP_seq,8122.326,206466763.144,14368.951,0.13,13.33,40.0,63.33,4.74,7.13,9.14,4.74,9.58,13.09
MLP_seq,7900.444,204029822.108,14283.901,0.13,23.33,46.67,63.33,4.7,6.49,8.74,4.7,8.35,13.11
MLP_seq,9450.711,244753535.488,15644.601,0.15,10.0,33.33,56.67,6.1,8.87,12.06,6.1,11.69,18.06
MLP_seq,7661.339,195448753.047,13980.299,0.13,10.0,43.33,70.0,2.7,6.29,8.17,2.7,9.88,11.89
MLP_seq,7572.592,194620060.306,13950.629,0.13,13.33,36.67,73.33,4.44,7.39,9.42,4.44,10.38,13.41
MLP_seq,7814.809,196050880.214,14001.817,0.13,10.0,30.0,70.0,0.97,5.73,8.04,0.97,10.39,12.51
MLP_seq,8703.823,242303486.117,15566.101,0.14,13.33,43.33,63.33,6.5,9.62,11.81,6.5,12.77,16.06
MLP_seq,7622.805,204971316.531,14316.819,0.13,20.0,40.0,70.0,4.68,7.79,9.36,4.68,10.93,12.48
MLP_seq,8731.037,230341079.337,15176.992,0.14,13.33,26.67,66.67,6.48,9.59,11.36,6.48,12.72,14.87
MLP_seq,7981.993,201097491.726,14180.885,0.13,10.0,26.67,66.67,1.45,5.23,7.55,1.45,9.01,12.06
MLP_seq,7188.448,197766850.617,14062.96,0.12,26.67,40.0,66.67,0.3,4.1,6.16,0.3,7.9,10.2
MLP_seq,7274.384,195957028.672,13998.465,0.12,23.33,40.0,63.33,0.94,4.36,6.15,0.94,7.8,9.68
MLP_seq,7457.494,200704794.99,14167.032,0.12,16.67,43.33,70.0,2.76,5.66,7.55,2.76,8.6,11.27
