validation,mae,mse,rmse,mape,accuracy 2%,accuracy 5%,accuracy 10%,Erro percentual acumulado 30 dias,Erro percentual acumulado 60 dias,Erro percentual acumulado 90 dias,Erro percentual acumulado 1º mês,Erro percentual acumulado 2º mês,Erro percentual acumulado 3º mês
2,5521.685,47527798.661,6894.041,0.09,3.33,30.0,70.0,1.64,3.84,4.2,1.64,5.93,4.93
3,5727.689,54208680.063,7362.654,0.1,3.33,23.33,80.0,0.25,3.33,4.3,0.25,6.27,6.24
4,9253.181,339582668.32,18427.769,0.15,6.67,30.0,70.0,10.2,8.53,10.04,10.2,6.93,13.08
5,5118.106,40468055.246,6361.451,0.09,3.33,30.0,83.33,1.06,3.12,3.46,1.06,5.08,4.15
6,7670.2,204446620.168,14298.483,0.12,3.33,36.67,66.67,0.83,9.0,7.1,0.83,18.37,3.26
7,5326.532,41210663.733,6419.553,0.09,0.0,26.67,80.0,0.83,3.43,3.8,0.83,5.9,4.55
8,5918.26,49119002.326,7008.495,0.1,6.67,13.33,66.67,2.49,5.4,5.31,2.49,8.17,5.13
9,5446.584,42572950.923,6524.795,0.09,6.67,33.33,63.33,1.69,4.83,4.33,1.69,7.82,3.32
0.1,5237.772,41433393.389,6436.878,0.09,3.33,33.33,73.33,0.72,3.1,3.88,0.72,5.37,5.45
0.2,5569.335,46503574.669,6819.353,0.09,3.33,23.33,76.67,0.48,2.99,3.56,0.48,5.37,4.71
0.30000000000000004,4981.88,46079825.668,6788.212,0.08,6.67,40.0,80.0,0.49,4.02,3.69,0.49,7.37,3.02
0.4,8627.165,222547193.836,14918.016,0.14,10.0,16.67,63.33,5.16,11.46,9.57,5.16,17.46,5.78
0.5,5025.688,40686962.05,6378.633,0.09,3.33,33.33,80.0,0.14,2.42,2.8,0.14,4.85,3.58
0.6,5563.335,49065639.562,7004.687,0.09,10.0,30.0,70.0,0.59,3.93,3.76,0.59,7.1,3.41
0.7,5577.826,41819823.214,6466.825,0.09,0.0,20.0,73.33,2.16,4.6,4.84,2.16,6.92,5.31
0.7999999999999999,5576.732,48071176.479,6933.338,0.09,3.33,26.67,70.0,0.32,3.34,3.43,0.32,6.21,3.62
0.8999999999999999,8334.811,197134179.058,14040.448,0.13,3.33,13.33,60.0,4.89,11.18,9.69,4.89,17.16,6.7
