Data,Hora,kWh fornecido
01/10/2023,1,0
01/10/2023,2,0
01/10/2023,3,0
01/10/2023,4,0
01/10/2023,5,0
01/10/2023,6,0
01/10/2023,7,0
01/10/2023,8,0
01/10/2023,9,0
01/10/2023,10,0
01/10/2023,11,0
01/10/2023,12,0
01/10/2023,13,0
01/10/2023,14,0
01/10/2023,15,0
01/10/2023,16,0
01/10/2023,17,0
01/10/2023,18,0
01/10/2023,19,0
01/10/2023,20,0
01/10/2023,21,0
01/10/2023,22,0
01/10/2023,23,0
01/10/2023,24,0
02/10/2023,1,0
02/10/2023,2,0
02/10/2023,3,0
02/10/2023,4,0
02/10/2023,5,0
02/10/2023,6,0
02/10/2023,7,0
02/10/2023,8,0
02/10/2023,9,0
02/10/2023,10,0
02/10/2023,11,0
02/10/2023,12,0
02/10/2023,13,0
02/10/2023,14,0
02/10/2023,15,0
02/10/2023,16,0
02/10/2023,17,0
02/10/2023,18,0
02/10/2023,19,0
02/10/2023,20,0
02/10/2023,21,0
02/10/2023,22,0
02/10/2023,23,0
02/10/2023,24,0
03/10/2023,1,0
03/10/2023,2,0
03/10/2023,3,0
03/10/2023,4,0
03/10/2023,5,0
03/10/2023,6,0
03/10/2023,7,0
03/10/2023,8,0
03/10/2023,9,0
03/10/2023,10,0
03/10/2023,11,0
03/10/2023,12,0
03/10/2023,13,0
03/10/2023,14,0
03/10/2023,15,0
03/10/2023,16,0
03/10/2023,17,0
03/10/2023,18,0
03/10/2023,19,0
03/10/2023,20,0
03/10/2023,21,0
03/10/2023,22,0
03/10/2023,23,0
03/10/2023,24,0
04/10/2023,1,0
04/10/2023,2,0
04/10/2023,3,0
04/10/2023,4,0
04/10/2023,5,0
04/10/2023,6,0
04/10/2023,7,0
04/10/2023,8,0
04/10/2023,9,0
04/10/2023,10,0
04/10/2023,11,0
04/10/2023,12,0
04/10/2023,13,0
04/10/2023,14,0
04/10/2023,15,0
04/10/2023,16,0
04/10/2023,17,0
04/10/2023,18,0
04/10/2023,19,0
04/10/2023,20,0
04/10/2023,21,0
04/10/2023,22,0
04/10/2023,23,0
04/10/2023,24,0
05/10/2023,1,0
05/10/2023,2,0
05/10/2023,3,0
05/10/2023,4,0
05/10/2023,5,0
05/10/2023,6,0
05/10/2023,7,0
05/10/2023,8,0
05/10/2023,9,0
05/10/2023,10,0
05/10/2023,11,278.28
05/10/2023,12,813.6
05/10/2023,13,813.6
05/10/2023,14,811.44
05/10/2023,15,811.8
05/10/2023,16,810.36
05/10/2023,17,810.36
05/10/2023,18,811.8
05/10/2023,19,811.44
05/10/2023,20,811.08
05/10/2023,21,810.72
05/10/2023,22,810.36
05/10/2023,23,811.08
05/10/2023,24,811.44
06/10/2023,1,810.72
06/10/2023,2,810.36
06/10/2023,3,810.36
06/10/2023,4,811.08
06/10/2023,5,810.36
06/10/2023,6,811.08
06/10/2023,7,812.16
06/10/2023,8,810.36
06/10/2023,9,810
06/10/2023,10,810.36
06/10/2023,11,809.64
06/10/2023,12,810.36
06/10/2023,13,810.72
06/10/2023,14,809.28
06/10/2023,15,809.64
06/10/2023,16,798.48
06/10/2023,17,6.12
06/10/2023,18,6.48
06/10/2023,19,6.84
06/10/2023,20,6.48
06/10/2023,21,6.48
06/10/2023,22,6.12
06/10/2023,23,6.48
06/10/2023,24,6.12
07/10/2023,1,6.48
07/10/2023,2,70.92
07/10/2023,3,402.48
07/10/2023,4,606.96
07/10/2023,5,595.44
07/10/2023,6,578.88
07/10/2023,7,579.24
07/10/2023,8,577.44
07/10/2023,9,578.88
07/10/2023,10,577.44
07/10/2023,11,537.12
07/10/2023,12,607.32
07/10/2023,13,800.28
07/10/2023,14,800.64
07/10/2023,15,801
07/10/2023,16,800.64
07/10/2023,17,800.64
07/10/2023,18,801.36
07/10/2023,19,801.36
07/10/2023,20,801.36
07/10/2023,21,799.92
07/10/2023,22,798.12
07/10/2023,23,798.12
07/10/2023,24,797.76
08/10/2023,1,797.4
08/10/2023,2,796.68
08/10/2023,3,796.68
08/10/2023,4,797.04
08/10/2023,5,797.76
08/10/2023,6,797.76
08/10/2023,7,797.76
08/10/2023,8,797.04
08/10/2023,9,796.68
08/10/2023,10,797.4
08/10/2023,11,797.04
08/10/2023,12,797.04
08/10/2023,13,798.48
08/10/2023,14,796.68
08/10/2023,15,796.68
08/10/2023,16,797.04
