timestamp,kWh fornecido
1,13.35
2,13.01
3,13.08
4,13.21
5,12.92
6,12.68
7,13.05
8,12.63
9,11.05
10,12.20
11,12.29
12,14.50
13,12.28
14,11.83
15,12.43
16,12.81
17,13.53
18,12.52
19,12.90
20,12.62
21,13.03
22,13.22
23,10.91
24,12.40
25,12.62
26,13.27
27,12.14
28,11.81
29,12.42
30,12.68
31,12.91
32,12.41
33,12.42
34,11.93
35,12.80
36,12.66
37,9.27
38,11.82
39,12.35
40,13.11
41,11.03
42,12.36
43,12.53
44,13.04
45,12.75
46,12.85
47,11.97
48,12.62
49,12.71
50,7.23
51,11.80
52,12.49
53,13.17
54,11.98
55,11.35
56,12.31
57,12.72
58,12.72
59,12.86
60,12.78
61,11.87
62,10.81
63,12.19
64,12.53
65,13.39
66,12.56
67,13.34
68,12.22
69,12.06
70,13.05
71,12.79
72,12.89
73,12.49
74,13.02
75,12.61
76,11.15
77,12.74
78,12.35
79,12.41
80,12.51
81,13.08
82,12.20
83,11.85
84,12.35
85,12.88
86,13.56
87,12.46
88,13.04
89,12.75
90,11.21
91,12.13
92,12.33
93,12.33
94,12.48
95,13.07
96,12.10
97,11.81
98,12.28
99,12.70
100,12.80
101,11.91
102,12.38
103,12.68
104,8.34
