timestamp,kWh fornecido
2023-10-01,0.0
2023-10-02,
2023-10-03,0.0
2023-10-04,
2023-10-05,496.53
2023-10-06,
2023-10-07,714.7349999999999
2023-10-08,
2023-10-09,796.905
2023-10-10,
2023-10-11,876.0149999999999
2023-10-12,
2023-10-13,875.685
2023-10-14,
2023-10-15,873.8625
2023-10-16,
2023-10-17,873.5925
2023-10-18,
2023-10-19,873.135
2023-10-20,
2023-10-21,689.2650000000001
2023-10-22,
2023-10-23,874.155
2023-10-24,
2023-10-25,700.0350000000001
2023-10-26,
2023-10-27,768.3900000000001
2023-10-28,
2023-10-29,871.155
2023-10-30,
2023-10-31,870.1724999999999
2023-11-01,
2023-11-02,870.795
2023-11-03,
2023-11-04,870.6075000000001
2023-11-05,
2023-11-06,851.6025
2023-11-07,
2023-11-08,869.9999999999999
2023-11-09,
2023-11-10,881.49
2023-11-11,
2023-11-12,880.4175
2023-11-13,
2023-11-14,874.8299999999999
2023-11-15,
2023-11-16,880.74
2023-11-17,
2023-11-18,880.5150000000001
2023-11-19,
2023-11-20,880.4025
2023-11-21,
2023-11-22,683.1899999999999
2023-11-23,
2023-11-24,875.5350000000001
2023-11-25,
2023-11-26,844.6575
2023-11-27,
2023-11-28,888.7650000000001
2023-11-29,
2023-11-30,888.24
2023-12-01,
2023-12-02,887.385
2023-12-03,
2023-12-04,887.355
2023-12-05,
2023-12-06,885.3299999999999
2023-12-07,
2023-12-08,885.2250000000001
2023-12-09,
2023-12-10,880.3725
2023-12-11,
2023-12-12,789.8325
2023-12-13,
2023-12-14,882.7950000000001
2023-12-15,
2023-12-16,880.6800000000001
2023-12-17,
2023-12-18,878.8725
2023-12-19,
2023-12-20,831.2024999999999
2023-12-21,
2023-12-22,880.9424999999999
2023-12-23,
2023-12-24,880.2750000000001
2023-12-25,
2023-12-26,875.1524999999999
2023-12-27,
2023-12-28,879.4425
2023-12-29,
2023-12-30,873.6374999999999
2023-12-31,
2024-01-01,878.3775
2024-01-02,
2024-01-03,871.3275
2024-01-04,
2024-01-05,878.7674999999999
2024-01-06,
2024-01-07,877.635
2024-01-08,
2024-01-09,860.31
2024-01-10,
2024-01-11,865.125
2024-01-12,
2024-01-13,865.95
2024-01-14,
2024-01-15,866.0024999999999
2024-01-16,
2024-01-17,868.0124999999999
2024-01-18,
2024-01-19,817.3275000000001
2024-01-20,
2024-01-21,756.7349999999999
2024-01-22,
2024-01-23,850.02
2024-01-24,
2024-01-25,775.6800000000001
2024-01-26,
2024-01-27,870.81
2024-01-28,
2024-01-29,813.9300000000001
2024-01-30,
2024-01-31,800.145
2024-02-01,
2024-02-02,864.345
2024-02-03,
2024-02-04,851.7225000000001
2024-02-05,
2024-02-06,872.775
2024-02-07,
2024-02-08,836.22
2024-02-09,
2024-02-10,857.1600000000001
2024-02-11,
2024-02-12,863.9925000000001
2024-02-13,
2024-02-14,863.6025
2024-02-15,
2024-02-16,849.5999999999999
2024-02-17,
2024-02-18,863.07
2024-02-19,
2024-02-20,862.8074999999999
2024-02-21,
2024-02-22,862.635
2024-02-23,
2024-02-24,862.6274999999999
2024-02-25,
2024-02-26,862.6125
2024-02-27,
2024-02-28,863.2275
2024-02-29,
2024-03-01,863.6925000000001
2024-03-02,
2024-03-03,864.465
2024-03-04,
2024-03-05,864.6075000000001
2024-03-06,
2024-03-07,864.06
2024-03-08,
2024-03-09,863.52
2024-03-10,
2024-03-11,722.52
2024-03-12,
2024-03-13,503.81250000000006
2024-03-14,
2024-03-15,871.8375
2024-03-16,
2024-03-17,870.585
2024-03-18,
2024-03-19,870.1725
2024-03-20,
2024-03-21,865.83
2024-03-22,
2024-03-23,854.55
2024-03-24,
2024-03-25,864.9525
2024-03-26,
2024-03-27,864.975
2024-03-28,
2024-03-29,727.2974999999999
2024-03-30,
2024-03-31,832.335
2024-04-01,
2024-04-02,663.27
2024-04-03,
2024-04-04,794.7824999999999
2024-04-05,
2024-04-06,866.1675
2024-04-07,
2024-04-08,864.5475
2024-04-09,
2024-04-10,863.355
2024-04-11,
2024-04-12,863.2724999999999
2024-04-13,
2024-04-14,862.7774999999999
2024-04-15,
2024-04-16,862.2
2024-04-17,
2024-04-18,810.81
2024-04-19,
2024-04-20,875.835
2024-04-21,
2024-04-22,875.4
2024-04-23,
2024-04-24,867.2850000000001
2024-04-25,
2024-04-26,865.5374999999999
2024-04-27,
2024-04-28,865.8000000000001
2024-04-29,
2024-04-30,793.6500000000001
2024-05-01,
2024-05-02,834.8174999999999
2024-05-03,
2024-05-04,840.2325000000001
2024-05-05,
2024-05-06,793.7475000000001
2024-05-07,
2024-05-08,800.9475
2024-05-09,
2024-05-10,796.3349999999999
2024-05-11,
2024-05-12,797.2725
2024-05-13,
2024-05-14,800.3475
2024-05-15,
2024-05-16,645.3225
2024-05-17,
2024-05-18,917.76
2024-05-19,
2024-05-20,920.625
2024-05-21,
2024-05-22,901.8975
2024-05-23,
2024-05-24,915.63
2024-05-25,
2024-05-26,914.1524999999999
2024-05-27,
2024-05-28,918.435
2024-05-29,
2024-05-30,910.575
2024-05-31,
2024-06-01,909.66
2024-06-02,
2024-06-03,908.145
2024-06-04,
2024-06-05,899.895
2024-06-06,
2024-06-07,917.01
2024-06-08,
2024-06-09,921.1875
2024-06-10,
2024-06-11,925.56
2024-06-12,
2024-06-13,922.0275
2024-06-14,
