timestamp,kWh fornecido
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,10827.36
2023-10-06,13006.08
2023-10-07,15319.8
2023-10-08,18987.48
2023-10-09,17251.56
2023-10-10,20999.88
2023-10-11,21031.92
2023-10-12,21016.8
2023-10-13,21020.76
2023-10-14,21012.12
2023-10-15,20981.52
2023-10-16,20963.88
2023-10-17,20972.88
2023-10-18,20959.56
2023-10-19,20954.16
2023-10-20,20956.32
2023-10-21,20883.24
2023-10-22,12201.48
2023-10-23,20976.84
2023-10-24,20982.6
2023-10-25,20975.760000000002
2023-10-26,12625.92
2023-10-27,15953.04
2023-10-28,20929.68
2023-10-29,20908.08
2023-10-30,20907.36
2023-10-31,20884.32
2023-11-01,20883.96
2023-11-02,20895.84
2023-11-03,20902.32
2023-11-04,20897.64
2023-11-05,20891.52
2023-11-06,20889.36
2023-11-07,19987.56
2023-11-08,20921.76
2023-11-09,20838.239999999998
2023-11-10,21166.56
2023-11-11,21144.96
2023-11-12,21129.48
2023-11-13,21130.56
2023-11-14,21133.44
2023-11-15,20858.4
2023-11-16,21142.079999999998
2023-11-17,21133.44
2023-11-18,21130.2
2023-11-19,21134.52
2023-11-20,21125.16
2023-11-21,21134.16
2023-11-22,11596.32
2023-11-23,21196.8
2023-11-24,20911.68
2023-11-25,21114.0
2023-11-26,19998.0
2023-11-27,20545.56
2023-11-28,21337.56
2023-11-29,21323.16
2023-11-30,21318.48
2023-12-01,21317.04
2023-12-02,21300.84
2023-12-03,21293.64
2023-12-04,21295.44
2023-12-05,21297.6
2023-12-06,21252.96
2023-12-07,21242.88
2023-12-08,21252.24
2023-12-09,21238.56
2023-12-10,20969.28
2023-12-11,21288.6
2023-12-12,16638.84
2023-12-13,21273.12
2023-12-14,21191.760000000002
2023-12-15,21182.4
2023-12-16,21166.920000000002
2023-12-17,21105.72
2023-12-18,21089.88
2023-12-19,21096.0
2023-12-20,19790.28
2023-12-21,20107.44
2023-12-22,21154.32
2023-12-23,21130.92
2023-12-24,21130.2
2023-12-25,21123.0
2023-12-26,20896.92
2023-12-27,21110.4
2023-12-28,21106.079999999998
2023-12-29,21107.16
2023-12-30,20849.76
2023-12-31,21084.84
2024-01-01,21081.6
2024-01-02,21080.52
2024-01-03,20718.36
2024-01-04,21105.36
2024-01-05,21096.36
2024-01-06,21084.48
2024-01-07,21066.48
2024-01-08,21060.0
2024-01-09,20478.96
2024-01-10,20815.92
2024-01-11,20788.56
2024-01-12,20737.44
2024-01-13,20777.4
2024-01-14,20788.2
2024-01-15,20728.8
2024-01-16,20839.32
2024-01-17,20830.32
2024-01-18,20834.28
2024-01-19,20827.08
2024-01-20,18404.64
2024-01-21,17365.32
2024-01-22,18957.96
2024-01-23,20873.16
2024-01-24,19927.8
2024-01-25,17386.2
2024-01-26,19846.44
2024-01-27,20899.44
2024-01-28,20899.44
2024-01-29,20742.48
2024-01-30,18326.16
2024-01-31,17651.88
2024-02-01,20755.08
2024-02-02,20749.32
2024-02-03,20739.24
2024-02-04,20739.24
2024-02-05,20143.44
2024-02-06,20967.84
2024-02-07,20925.36
2024-02-08,20913.84
2024-02-09,19224.72
2024-02-10,20373.12
2024-02-11,20770.56
2024-02-12,20739.96
2024-02-13,20731.68
2024-02-14,20729.88
2024-02-15,20723.04
2024-02-16,20061.36
2024-02-17,20719.44
2024-02-18,20720.16
2024-02-19,20707.2
2024-02-20,20704.32
2024-02-21,20710.44
2024-02-22,20708.64
2024-02-23,20697.84
2024-02-24,20704.32
2024-02-25,20701.8
2024-02-26,20704.32
2024-02-27,20701.079999999998
2024-02-28,20712.239999999998
2024-02-29,20722.68
2024-03-01,20725.56
2024-03-02,20731.68
2024-03-03,20745.72
2024-03-04,20748.6
2024-03-05,20751.12
2024-03-06,20750.04
2024-03-07,20750.76
2024-03-08,20724.12
2024-03-09,20728.44
2024-03-10,20720.52
2024-03-11,20709.36
2024-03-12,13971.6
2024-03-13,3236.76
2024-03-14,20946.24
2024-03-15,20934.36
2024-03-16,20913.84
2024-03-17,20895.12
2024-03-18,20892.96
2024-03-19,20888.64
2024-03-20,20879.64
2024-03-21,20879.64
2024-03-22,20680.2
2024-03-23,20249.64
2024-03-24,20768.76
2024-03-25,20768.4
2024-03-26,20749.32
2024-03-27,20750.4
2024-03-28,20768.4
2024-03-29,18343.44
2024-03-30,16566.84
2024-03-31,19119.96
2024-04-01,20832.12
2024-04-02,20811.24
2024-04-03,11025.72
