timestamp,kWh fornecido
2023-10-01,0.0
2023-10-03,0.0
2023-10-05,23833.44
2023-10-07,34307.28
2023-10-09,38251.44
2023-10-11,42048.72
2023-10-13,42032.88
2023-10-15,41945.4
2023-10-17,41932.44
2023-10-19,41910.48
2023-10-21,33084.72
2023-10-23,41959.44
2023-10-25,33601.68
2023-10-27,36882.72
2023-10-29,41815.44
2023-10-31,41768.28
2023-11-02,41798.16
2023-11-04,41789.16
2023-11-06,40876.92
2023-11-08,41760.0
2023-11-10,42311.52
2023-11-12,42260.04
2023-11-14,41991.84
2023-11-16,42275.52
2023-11-18,42264.72
2023-11-20,42259.32
2023-11-22,32793.12
2023-11-24,42025.68
2023-11-26,40543.56
2023-11-28,42660.72
2023-11-30,42635.52
2023-12-02,42594.479999999996
2023-12-04,42593.04
2023-12-06,42495.840000000004
2023-12-08,42490.8
2023-12-10,42257.88
2023-12-12,37911.96
2023-12-14,42374.16
2023-12-16,42272.64
2023-12-18,42185.88
2023-12-20,39897.72
2023-12-22,42285.24
2023-12-24,42253.2
2023-12-26,42007.32
2023-12-28,42213.24
2023-12-30,41934.6
2024-01-01,42162.12
2024-01-03,41823.72
2024-01-05,42180.84
2024-01-07,42126.479999999996
2024-01-09,41294.88
2024-01-11,41526.0
2024-01-13,41565.6
2024-01-15,41568.12
2024-01-17,41664.6
2024-01-19,39231.72
2024-01-21,36323.28
2024-01-23,40800.96
2024-01-25,37232.64
2024-01-27,41798.88
2024-01-29,39068.64
2024-01-31,38406.96
2024-02-02,41488.56
2024-02-04,40882.68
2024-02-06,41893.2
2024-02-08,40138.56
2024-02-10,41143.68
2024-02-12,41471.64
2024-02-14,41452.92
2024-02-16,40780.8
2024-02-18,41427.36
2024-02-20,41414.76
2024-02-22,41406.48
2024-02-24,41406.12
2024-02-26,41405.4
2024-02-28,41434.92
2024-03-01,41457.24
2024-03-03,41494.32
2024-03-05,41501.16
2024-03-07,41474.88
2024-03-09,41448.96
2024-03-11,34680.96
2024-03-13,24183.0
2024-03-15,41848.2
2024-03-17,41788.08
2024-03-19,41768.28
2024-03-21,41559.84
2024-03-23,41018.4
2024-03-25,41517.72
2024-03-27,41518.8
2024-03-29,34910.28
2024-03-31,39952.08
2024-04-02,31836.96
2024-04-04,38149.56
2024-04-06,41576.04
2024-04-08,41498.28
2024-04-10,41441.04
2024-04-12,41437.08
2024-04-14,41413.32
2024-04-16,41385.6
2024-04-18,38918.88
2024-04-20,42040.08
2024-04-22,42019.2
2024-04-24,41629.68
2024-04-26,41545.8
2024-04-28,41558.4
2024-04-30,38095.2
2024-05-02,40071.24
2024-05-04,40331.159999999996
2024-05-06,38099.88
2024-05-08,38445.48
2024-05-10,38224.08
2024-05-12,38269.08
2024-05-14,38416.68
2024-05-16,30975.48
2024-05-18,44052.48
2024-05-20,44190.0
2024-05-22,43291.08
2024-05-24,43950.24
2024-05-26,43879.32
2024-05-28,44084.88
2024-05-30,43707.6
2024-06-01,43663.68
2024-06-03,43590.96
2024-06-05,43194.96
2024-06-07,44016.48
2024-06-09,44217.0
2024-06-11,44426.88
2024-06-13,44257.32
2024-06-15,44729.28
2024-06-17,44662.32
2024-06-19,44631.72
2024-06-21,42963.12
2024-06-23,43660.44
2024-06-25,43956.0
2024-06-27,44873.64
2024-06-29,44979.12
2024-07-01,44931.24
2024-07-03,35952.84
2024-07-05,45339.840000000004
2024-07-07,45780.840000000004
2024-07-09,42627.96
2024-07-11,45322.56
2024-07-13,41681.16
2024-07-15,38853.72
2024-07-17,45717.84
2024-07-19,45729.0
2024-07-21,45769.68
2024-07-23,43013.88
2024-07-25,44879.4
2024-07-27,45977.4
2024-07-29,45928.8
2024-07-31,45824.76
2024-08-02,45667.08
2024-08-04,45176.76
2024-08-06,16899.12
