timestamp,kWh fornecido
2022-01-03,143786.88
2022-01-06,144056.16
2022-01-09,144972.0
2022-01-12,136909.44
2022-01-15,128541.6
2022-01-18,136365.12
2022-01-21,136321.91999999998
2022-01-24,136437.12
2022-01-27,136854.72
2022-01-30,92736.0
2022-02-02,127503.36
2022-02-05,140300.64
2022-02-08,136768.32
2022-02-11,139376.16
2022-02-14,114757.92
2022-02-17,137952.0
2022-02-20,137980.8
2022-02-23,138186.72
2022-02-26,139007.52000000002
2022-03-01,138568.32
2022-03-04,138401.28
2022-03-07,138241.44
2022-03-10,137337.12
2022-03-13,136857.6
2022-03-16,134844.48
2022-03-19,134534.2
2022-03-22,139442.4
2022-03-25,140846.40000000002
2022-03-28,140554.08000000002
2022-03-31,141012.0
2022-04-03,140693.76
2022-04-06,135128.16
2022-04-09,121573.44
2022-04-12,138206.88
2022-04-15,138216.96
2022-04-18,128208.96
2022-04-21,129290.4
2022-04-24,139599.36
2022-04-27,141785.28
2022-04-30,119466.72
2022-05-03,121425.12
2022-05-06,145059.84
2022-05-09,143687.52
2022-05-12,132589.44
2022-05-15,131726.88
2022-05-18,142996.32
2022-05-21,142400.16
2022-05-24,131361.12
2022-05-27,132897.6
2022-05-30,118304.8239
2022-06-02,145326.24
2022-06-05,131927.04
2022-06-08,132755.03999999998
2022-06-11,146784.96
2022-06-14,142433.28
2022-06-17,129637.44
2022-06-20,130246.56
2022-06-23,134452.8
2022-06-26,135881.28
2022-06-29,132492.96
2022-07-02,134843.03999999998
2022-07-05,130000.32
2022-07-08,128036.16
2022-07-11,132710.4
2022-07-14,128304.0
2022-07-17,134318.88
2022-07-20,133001.28
2022-07-23,127611.35999999999
2022-07-26,127670.4
2022-07-29,123348.95999999999
2022-08-01,100242.72
2022-08-04,129650.4
2022-08-07,121032.0
2022-08-10,64431.36
2022-08-13,104339.52
2022-08-16,88944.48
2022-08-19,100673.28
2022-08-22,151064.64
2022-08-25,59247.36
2022-08-28,112708.8
2022-08-31,145058.4
2022-09-03,142156.8
2022-09-06,149719.68
2022-09-09,143935.2
2022-09-12,108925.92
2022-09-15,141359.03999999998
2022-09-18,147719.52000000002
2022-09-21,148439.52
2022-09-24,142289.28
2022-09-27,129188.3439
2022-09-30,145052.64
2022-10-03,146928.96
2022-10-06,119969.28
2022-10-09,143026.56
2022-10-12,143853.12
2022-10-15,149652.0
2022-10-18,149508.0
2022-10-21,145188.0
2022-10-24,143752.32
2022-10-27,149816.16
2022-10-30,148538.88
2022-11-02,142136.63999999998
2022-11-05,141573.6
2022-11-08,147591.36
2022-11-11,146102.4
2022-11-14,138241.44
2022-11-17,138659.04
2022-11-20,144923.04
2022-11-23,142842.24
2022-11-26,136019.52000000002
2022-11-29,136355.04
2022-12-02,118594.08
2022-12-05,136692.0
2022-12-08,134186.40000000002
2022-12-11,111254.4
2022-12-14,143331.84
2022-12-17,128206.08
2022-12-20,136595.52
2022-12-23,136405.44
2022-12-26,142380.0
2022-12-29,142600.32
2023-01-01,95129.28
