timestamp,kWh fornecido
2023-10-01,39153.24
2023-10-08,141320.52
2023-10-15,146671.56
2023-10-22,124645.32
2023-10-29,146279.52
2023-11-05,145839.96
2023-11-12,147657.6
2023-11-19,138212.64
2023-11-26,147140.64
2023-12-03,148873.32
2023-12-10,143710.92
2023-12-17,145474.56
2023-12-24,147323.52
2023-12-31,147251.52
2024-01-07,145724.76
2024-01-14,143252.64
2024-01-21,135256.32
2024-01-28,139863.6
2024-02-04,143287.56
2024-02-11,144475.92
2024-02-18,144952.92
2024-02-25,144999.36
2024-03-03,145198.8
2024-03-10,121432.68
2024-03-17,145365.84
2024-03-24,138715.56
2024-03-31,130745.16
2024-04-07,145145.88
2024-04-14,142728.48
2024-04-21,146224.08
2024-04-28,139841.28
2024-05-05,134984.16
2024-05-12,129655.08
2024-05-19,153489.96
2024-05-26,153509.4
2024-06-02,152628.48
2024-06-09,155270.52
2024-06-16,154617.12
2024-06-23,154979.64
2024-06-30,148713.48
2024-07-07,156238.92
2024-07-14,149474.16
2024-07-21,156655.44
2024-07-28,160405.56
2024-08-04,62075.88
