timestamp,COTA,PLUV
2023-10-01,69.88,0.00
2023-10-04,69.84,1.20
2023-10-07,69.79,2.33
2023-10-10,69.76,0.00
2023-10-13,69.71,0.07
2023-10-16,69.65,2.20
2023-10-19,69.60,3.07
2023-10-22,69.67,0.77
2023-10-25,69.50,0.67
2023-10-28,69.44,0.20
2023-10-31,69.38,0.00
2023-11-03,69.30,0.67
2023-11-06,69.23,4.03
2023-11-09,69.17,0.00
2023-11-12,69.09,0.00
2023-11-15,69.02,0.13
2023-11-18,68.93,0.00
2023-11-21,68.85,0.27
2023-11-24,68.75,0.07
2023-11-27,68.69,12.00
2023-11-30,68.64,0.00
2023-12-03,68.57,5.27
2023-12-06,68.50,0.93
2023-12-09,68.57,1.23
2023-12-12,68.34,7.47
2023-12-15,68.25,2.90
2023-12-18,68.18,6.57
2023-12-21,68.19,6.47
2023-12-24,68.15,4.40
2023-12-27,68.08,0.00
2023-12-30,67.99,0.00
2024-01-02,67.98,3.40
2024-01-05,67.92,0.07
2024-01-08,67.84,1.50
2024-01-11,67.84,12.03
2024-01-14,67.91,6.73
2024-01-17,67.83,0.73
2024-01-20,67.74,0.00
2024-01-23,67.65,0.03
2024-01-26,67.88,23.13
2024-01-29,67.94,1.40
2024-02-01,67.86,0.63
2024-02-04,67.79,0.00
2024-02-07,67.69,0.93
2024-02-10,67.63,1.73
2024-02-13,67.56,4.27
2024-02-16,67.73,21.00
2024-02-19,67.80,11.10
2024-02-22,67.76,7.30
2024-02-25,67.72,2.80
2024-02-28,68.03,23.87
2024-03-02,68.00,1.23
2024-03-05,67.94,2.93
2024-03-08,67.88,2.50
2024-03-11,67.83,0.20
2024-03-14,67.84,9.00
2024-03-17,67.82,2.13
2024-03-20,67.75,2.10
2024-03-23,67.67,2.33
2024-03-26,67.61,8.87
2024-03-29,67.63,7.30
2024-04-01,67.58,2.43
2024-04-04,67.57,15.73
2024-04-07,67.53,0.00
2024-04-10,67.56,5.50
2024-04-13,67.52,4.07
2024-04-16,67.68,17.57
2024-04-19,67.91,3.20
2024-04-22,68.48,3.07
2024-04-25,68.56,15.53
2024-04-28,69.09,18.27
2024-05-01,69.34,0.00
2024-05-04,69.29,2.97
2024-05-07,69.30,11.73
2024-05-10,69.29,1.90
2024-05-13,69.25,4.63
2024-05-16,69.23,5.77
2024-05-19,69.33,14.53
2024-05-22,69.34,3.20
2024-05-25,69.30,2.03
2024-05-28,69.28,15.40
2024-05-31,69.45,10.10
2024-06-03,69.67,18.80
2024-06-06,69.98,17.77
2024-06-09,70.04,11.73
2024-06-12,70.05,11.77
2024-06-15,70.30,51.37
2024-06-18,70.04,11.27
2024-06-21,70.08,13.20
2024-06-24,70.11,7.03
2024-06-27,70.02,0.00
2024-06-30,69.99,0.00
2024-07-03,69.97,4.00
2024-07-06,70.03,18.03
2024-07-09,70.02,1.30
