Data,Hora,Ativa C (kWh)
06/08/2024,1,"955,08"
06/08/2024,2,"954,72"
06/08/2024,3,"955,44"
06/08/2024,4,"954,36"
06/08/2024,5,"954,36"
06/08/2024,6,"954,72"
06/08/2024,7,"954,72"
06/08/2024,8,"954,72"
06/08/2024,9,"955,8"
06/08/2024,10,"712,08"
06/08/2024,11,"2,16"
06/08/2024,12,"2,16"
06/08/2024,13,"2,16"
06/08/2024,14,"2,16"
06/08/2024,15,"1,8"
06/08/2024,16,"54,36"
06/08/2024,17,"866,52"
06/08/2024,18,945
06/08/2024,19,"949,68"
06/08/2024,20,"951,84"
06/08/2024,21,"952,56"
06/08/2024,22,"953,64"
06/08/2024,23,"954,36"
06/08/2024,24,"954,72"
07/08/2024,1,"954,72"
07/08/2024,2,"955,8"
07/08/2024,3,"955,44"
07/08/2024,4,"956,16"
07/08/2024,5,"956,52"
07/08/2024,6,"955,8"
07/08/2024,7,"956,16"
07/08/2024,8,"955,8"
07/08/2024,9,"956,88"
07/08/2024,10,"956,52"
07/08/2024,11,"956,16"
07/08/2024,12,"955,08"
07/08/2024,13,"955,44"
07/08/2024,14,"955,44"
07/08/2024,15,"955,44"
07/08/2024,16,"956,88"
07/08/2024,17,"955,08"
07/08/2024,18,"955,44"
07/08/2024,19,"957,6"
07/08/2024,20,"957,6"
07/08/2024,21,"955,08"
07/08/2024,22,"957,24"
07/08/2024,23,"956,52"
07/08/2024,24,"956,88"
08/08/2024,1,"956,16"
08/08/2024,2,"956,88"
08/08/2024,3,"955,44"
08/08/2024,4,"956,16"
08/08/2024,5,"955,8"
08/08/2024,6,"955,8"
08/08/2024,7,"955,8"
08/08/2024,8,"955,44"
08/08/2024,9,"955,8"
08/08/2024,10,"955,44"
08/08/2024,11,"954,36"
08/08/2024,12,"955,44"
08/08/2024,13,"955,8"
08/08/2024,14,"955,44"
08/08/2024,15,"955,44"
08/08/2024,16,"956,88"
08/08/2024,17,"955,44"
08/08/2024,18,"955,44"
08/08/2024,19,"956,88"
08/08/2024,20,"956,88"
08/08/2024,21,"955,8"
08/08/2024,22,"955,44"
08/08/2024,23,"957,6"
08/08/2024,24,"956,88"
09/08/2024,1,"956,88"
09/08/2024,2,"956,16"
09/08/2024,3,"955,8"
09/08/2024,4,"955,44"
09/08/2024,5,"955,8"
09/08/2024,6,"955,44"
09/08/2024,7,"956,52"
09/08/2024,8,"956,16"
09/08/2024,9,"955,8"
09/08/2024,10,"786,6"
09/08/2024,11,0
09/08/2024,12,0
09/08/2024,13,0
09/08/2024,14,0
09/08/2024,15,"135,72"
09/08/2024,16,756
09/08/2024,17,"950,76"
09/08/2024,18,"954,72"
09/08/2024,19,"956,52"
09/08/2024,20,"957,24"
09/08/2024,21,"956,88"
09/08/2024,22,"957,96"
09/08/2024,23,"955,8"
09/08/2024,24,"956,52"
10/08/2024,1,"957,6"
10/08/2024,2,"958,32"
10/08/2024,3,"957,96"
10/08/2024,4,"957,96"
10/08/2024,5,"958,32"
10/08/2024,6,"957,96"
10/08/2024,7,"958,68"
10/08/2024,8,"958,32"
10/08/2024,9,"958,32"
10/08/2024,10,"958,68"
10/08/2024,11,"958,68"
10/08/2024,12,"959,76"
10/08/2024,13,"958,68"
10/08/2024,14,"958,32"
10/08/2024,15,"959,4"
10/08/2024,16,"959,04"
10/08/2024,17,"286,56"
10/08/2024,18,0
10/08/2024,19,0
10/08/2024,20,0
10/08/2024,21,0
10/08/2024,22,0
10/08/2024,23,459
10/08/2024,24,"946,08"
11/08/2024,1,"947,88"
11/08/2024,2,"950,04"
11/08/2024,3,"950,76"
11/08/2024,4,"951,84"
11/08/2024,5,"951,48"
11/08/2024,6,"948,6"
11/08/2024,7,"949,68"
11/08/2024,8,"951,12"
11/08/2024,9,"949,68"
11/08/2024,10,"948,6"
11/08/2024,11,"946,44"
11/08/2024,12,"947,16"
11/08/2024,13,"948,6"
11/08/2024,14,"946,44"
11/08/2024,15,"945,36"
11/08/2024,16,"944,64"
11/08/2024,17,"943,56"
11/08/2024,18,"945,72"
11/08/2024,19,"946,8"
11/08/2024,20,"946,08"
11/08/2024,21,"946,08"
11/08/2024,22,"946,8"
11/08/2024,23,"946,8"
11/08/2024,24,"948,24"
12/08/2024,1,"946,8"
12/08/2024,2,"946,8"
12/08/2024,3,"947,16"
12/08/2024,4,"947,16"
12/08/2024,5,"948,24"
12/08/2024,6,"947,52"
12/08/2024,7,"947,52"
12/08/2024,8,"947,88"
12/08/2024,9,"947,16"
12/08/2024,10,"948,24"
12/08/2024,11,"948,24"
12/08/2024,12,"947,16"
12/08/2024,13,"949,32"
12/08/2024,14,"950,04"
12/08/2024,15,"950,04"
12/08/2024,16,"950,76"
12/08/2024,17,"951,84"
12/08/2024,18,"953,28"
12/08/2024,19,"953,64"
12/08/2024,20,"953,64"
12/08/2024,21,"952,56"
12/08/2024,22,954
12/08/2024,23,"953,64"
12/08/2024,24,954
13/08/2024,1,"952,92"
13/08/2024,2,"953,28"
13/08/2024,3,"952,56"
13/08/2024,4,"952,92"
13/08/2024,5,"952,56"
13/08/2024,6,"951,84"
13/08/2024,7,"952,92"
13/08/2024,8,"952,2"
13/08/2024,9,"952,56"
13/08/2024,10,"952,56"
13/08/2024,11,"952,2"
13/08/2024,12,"952,56"
13/08/2024,13,"951,84"
13/08/2024,14,"951,84"
13/08/2024,15,"951,84"
13/08/2024,16,"951,48"
13/08/2024,17,"951,12"
13/08/2024,18,"952,2"
13/08/2024,19,"953,28"
13/08/2024,20,"951,84"
13/08/2024,21,"951,48"
13/08/2024,22,"953,28"
13/08/2024,23,"952,56"
13/08/2024,24,"952,92"
14/08/2024,1,"952,56"
14/08/2024,2,954
14/08/2024,3,"952,2"
14/08/2024,4,"952,2"
14/08/2024,5,"952,2"
14/08/2024,6,"951,84"
14/08/2024,7,"951,48"
14/08/2024,8,"951,84"
14/08/2024,9,"952,92"
14/08/2024,10,"952,92"
14/08/2024,11,"951,12"
14/08/2024,12,"951,84"
14/08/2024,13,"951,12"
14/08/2024,14,"950,4"
14/08/2024,15,"950,76"
14/08/2024,16,"951,84"
14/08/2024,17,"951,84"
14/08/2024,18,"951,48"
14/08/2024,19,"952,92"
14/08/2024,20,"951,84"
14/08/2024,21,"951,84"
14/08/2024,22,"952,92"
14/08/2024,23,"951,84"
14/08/2024,24,"952,92"
15/08/2024,1,"951,84"
15/08/2024,2,"951,84"
15/08/2024,3,"951,84"
15/08/2024,4,"952,2"
15/08/2024,5,"951,48"
15/08/2024,6,"950,76"
15/08/2024,7,"951,12"
15/08/2024,8,"950,76"
15/08/2024,9,"951,12"
15/08/2024,10,"950,4"
15/08/2024,11,"950,76"
