timestamp,kWh fornecido
2023-10-01,10827.36
2023-10-06,85564.8
2023-10-11,105063.12
2023-10-16,104806.8
2023-10-21,96019.92
2023-10-26,91324.08
2023-10-31,104464.08
2023-11-05,103528.44
2023-11-10,105705.0
2023-11-15,105398.64
2023-11-20,95964.12
2023-11-25,104318.28
2023-11-30,106525.44
2023-12-05,106284.24
2023-12-10,101361.6
2023-12-15,105640.92
2023-12-20,103313.16
2023-12-25,105343.56
2023-12-30,104815.08
2024-01-04,105412.68
2024-01-09,103598.28
2024-01-14,104020.92
2024-01-19,96428.16
2024-01-24,98959.32
2024-01-29,98224.92
2024-02-03,103515.12
2024-02-08,102022.2
2024-02-13,102965.4
2024-02-18,103550.76
2024-02-23,103509.36
2024-02-28,103637.88
2024-03-04,103724.64
2024-03-09,79366.68
2024-03-14,104582.52
2024-03-19,103577.76
2024-03-24,103805.28
2024-03-29,95673.6
2024-04-03,90751.32
2024-04-08,103659.12
2024-04-13,103516.2
2024-04-18,101978.28
2024-04-23,104175.36
2024-04-28,99731.88
2024-05-03,98424.0
2024-05-08,95770.8
2024-05-13,88560.0
2024-05-18,110258.28
2024-05-23,109104.84
2024-05-28,109630.08
2024-06-02,108612.0
2024-06-07,110446.2
2024-06-12,111200.76
2024-06-17,110225.88
2024-06-22,109647.72
2024-06-27,112319.64
2024-07-02,103757.04
2024-07-07,111369.24
2024-07-12,102897.0
2024-07-17,114300.36
2024-07-22,110809.44
2024-07-27,114824.52
2024-08-01,113750.28
2024-08-06,16899.12
