timestamp,kWh fornecido
2022-01-01,358513.92
2022-01-08,340824.96
2022-01-15,361753.92
2022-01-22,342986.4
2022-01-29,298560.95999999996
2022-02-05,339981.12
2022-02-12,342813.6
2022-02-19,363745.44
2022-02-26,362645.28
2022-03-05,362969.28
2022-03-12,355632.48
2022-03-19,362350.08
2022-03-26,362135.52
2022-04-02,362381.76
2022-04-09,359976.96
2022-04-16,336428.64
2022-04-23,345124.8
2022-04-30,340267.68
2022-05-07,336627.36
2022-05-14,342332.64
2022-05-21,358997.76
2022-05-28,338676.48
2022-06-04,345841.92
2022-06-11,347349.60000000003
2022-06-18,340005.6
2022-06-25,340283.52
2022-07-02,338935.68
2022-07-09,352005.12
2022-07-16,364390.56
2022-07-23,342851.04000000004
2022-07-30,302029.92
2022-08-06,259538.40000000002
2022-08-13,261495.36
2022-08-20,251670.24
2022-08-27,341746.56
2022-09-03,346593.6
2022-09-10,326344.32
2022-09-17,364861.44
2022-09-24,347343.83999999997
2022-10-01,347340.96
2022-10-08,335436.48
2022-10-15,357122.88
2022-10-22,357871.68
2022-10-29,362989.44
2022-11-05,361598.4
2022-11-12,350853.12
2022-11-19,356798.88
2022-11-26,334307.52
2022-12-03,355514.4
2022-12-10,323533.44
2022-12-17,351390.24
2022-12-24,364701.6
2022-12-31,51387.84
